date,principal,interest
06/04/2021,2362.98,821.14
06/28/2021,2366.90,817.22
07/30/2021,2370.82,813.30
08/04/2021,2370.82,813.30
08/05/2021,2370.82,813.30
09/07/2021,2374.75,809.37
09/14/2023,2374.75,809.37
10/18/2021,2378.69,805.43
11/02/2021,2382.64,801.48
12/06/2021,2386.59,797.53
12/15/2023,2386.59,797.53
01/11/2022,2390.55,793.57
01/13/2022,2394.51,789.61
02/14/2022,2394.51,789.61
03/14/2023,2398.48,785.64
03/17/2022,2402.46,781.66
04/15/2022,2402.46,781.66
05/13/2022,2406.44,777.68
06/16/2022,2410.43,773.69
06/21/2022,2410.43,773.69
06/30/2022,2414.43,769.69
07/15/2022,2414.43,769.69
08/01/2022,2418.43,765.69
09/06/2022,2422.44,761.68
10/10/2022,2426.46,757.66
10/17/2022,2426.46,757.66
11/14/2022,2430.49,753.63
12/16/2022,2434.53,749.60
01/17/2023,2442.60,741.52
02/09/2023,2442.60,741.52
03/10/2023,2446.65,737.47
04/10/2023,2450.71,733.41
05/10/2023,2454.77,729.35
06/12/2023,2462.92,721.20
07/17/2023,2462.92,721.20
08/10/2023,2467.00,717.12








