date,balance,interest,principal
06/04/2021,495161.00,0.0,0.0
06/28/2021,492798.02,821.14,2362.98
07/31/2021,490431.12,813.30,2370.82
08/04/2021,492798.02,813.30,2370.82
08/05/2021,490431.12,813.30,2370.82
09/07/2021,490431.12,809.37,2374.75
09/14/2021,488060.30,809.37,2374.75
10/18/2021,485685.55,805.43,2378.69
11/02/2021,483306.86,801.48,2382.64
12/06/2021,483306.86,797.53,2386.59
12/15/2021,480924.22,797.53,2386.59
01/11/2022,478537.63,793.57,2390.55
01/13/2022,476147.08,789.61,2394.51
02/14/2022,476147.08,789.61,2394.51
03/15/2022,473752.57,785.64,2398.48
03/17/2022,471354.09,781.66,2402.46
04/15/2022,471354.09,781.66,2402.46
05/13/2022,468951.63,777.68,2406.44
06/16/2022,466545.19,773.69,2410.43
06/21/2022,466545.19,773.69,2410.43
06/30/2022,464134.76,769.69,2414.43
07/15/2022,464134.76,769.69,2414.43
08/01/2022,461720.33,765.69,2418.43
09/06/2022,459301.90,761.68,2422.44
10/10/2022,459301.90,757.66,2426.46
10/17/2022,456879.46,757.66,2426.46
11/14/2022,456879.46,753.63,2430.49
12/16/2022,452022.51,749.60,2434.52
01/17/2023,447149.44,741.52,2442.60
02/09/2023,447149.44,741.52,2442.60
03/10/2023,444706.84,737.47,2446.65
04/11/2023,442260.19,733.41,2450.71
05/10/2023,439809.48,729.35,2454.77
06/12/2023,434895.87,721.20,2462.92
07/17/2023,434895.87,721.20,2462.92
08/10/2023,432432.95,717.12,2467.00
